id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
201,Guillaume,MARTIN,FRA,1993-06-09T00:00:00,WANTY - GROUPE GOBERT,,,,,,,,7,15,15,15,24,26,26,28,28,30,32,33,33,33
202,Frederik,BACKAERT,BEL,1990-03-13T00:00:00,WANTY - GROUPE GOBERT,,,,,,,,,,,31,39,42,43,46,46,46,49,50,50,51
208,Guillaume,VAN KEIRSBULCK,BEL,1991-02-14T00:00:00,WANTY - GROUPE GOBERT,,,,6,11,12,13,18,30,31,32,40,43,44,47,47,47,50,51,51,50
21,Nairo Alexander,QUINTANA ROJAS,COL,1990-02-04T00:00:00,MOVISTAR TEAM,,,,,,,,,,,,,22,22,24,24,28,30,31,31,29
212,Maxime,BOUET,FRA,1986-03-11T00:00:00,TEAM FORTUNEO - OSCARO,,,,,,,12,17,29,30,30,38,41,42,45,45,45,48,49,49,49
213,Brice,FEILLU,FRA,1985-07-26T00:00:00,TEAM FORTUNEO - OSCARO,,,,,,,,20,14,14,14,21,23,23,25,25,22,24,24,24,24
214,Elie,GESBERT,FRA,0001-01-01T00:00:00,TEAM FORTUNEO - OSCARO,,,,,,,,,,25,25,33,35,35,37,36,36,39,39,39,39
215,Romain,HARDY,FRA,1988-08-24T00:00:00,TEAM FORTUNEO - OSCARO,,,,,,,,,,,,,,,,,,,40,40,40
216,Pierre-Luc,PERICHON,FRA,1987-01-04T00:00:00,TEAM FORTUNEO - OSCARO,,,,,13,15,16,23,34,35,36,44,47,48,51,52,52,56,56,56,56
24,Carlos Alberto,BETANCUR,COL,1989-10-13T00:00:00,MOVISTAR TEAM,,,,,,,,,,,,,45,46,49,49,49,52,53,53,53
26,Imanol,ERVITI,ESP,1983-11-15T00:00:00,MOVISTAR TEAM,,,,,,,,,,,,45,49,50,54,55,56,60,62,62,62
27,Jesus,HERRADA LOPEZ,ESP,1990-07-26T00:00:00,MOVISTAR TEAM,,,,,,,,,28,29,29,37,40,40,43,43,43,47,48,48,47
31,Alberto,CONTADOR,ESP,1982-12-06T00:00:00,TREK - SEGAFREDO,,,,,,,,,,,,,9,9,9,9,5,9,9,9,9
32,Koen,DE KORT,NED,1982-09-08T00:00:00,TREK - SEGAFREDO,,,,,,,,,,,,36,38,38,40,40,40,44,45,45,48
35,Michael,GOGL,AUT,1993-11-04T00:00:00,TREK - SEGAFREDO,,,,,,,,,,,,,,,,,21,,,,
37,Bauke,MOLLEMA,NED,1986-11-26T00:00:00,TREK - SEGAFREDO,,,,,,,,,5,5,5,9,11,11,11,11,4,8,8,8,8
38,Jarlinson,PANTANO,COL,1988-11-19T00:00:00,TREK - SEGAFREDO,,,,,,,,,16,16,16,25,27,27,30,30,31,33,34,34,34
41,Richie,PORTE,AUS,1985-01-30T00:00:00,BMC RACING TEAM,,,,,4,4,4,10,,,,,,,,,,,,,
42,Damiano,CARUSO,ITA,1987-10-12T00:00:00,BMC RACING TEAM,,,,,,,,,,,,,,,23,23,27,29,30,30,30
43,Alessandro,DE MARCHI,ITA,1986-05-19T00:00:00,BMC RACING TEAM,,,,,,,,,,,,,19,19,20,20,23,25,25,25,25
46,Nicolas,ROCHE,IRL,1984-03-07T00:00:00,BMC RACING TEAM,,,,,,,,11,19,19,19,28,30,30,32,31,32,35,35,35,36
48,Greg,VAN AVERMAET,BEL,1985-05-17T00:00:00,BMC RACING TEAM,,,,,,,,21,33,33,34,42,46,47,52,53,53,57,59,59,54
5,Michal,KWIATKOWSKI,POL,1990-06-02T00:00:00,TEAM SKY,,,,,,,,,,,,20,21,21,22,22,26,27,28,28,28
51,Fabio,ARU,ITA,1990-07-03T00:00:00,ASTANA PRO TEAM,,,,,1,1,1,2,9,9,9,8,8,8,8,8,12,15,15,15,15
53,Jakob,FUGLSANG,DEN,1985-03-22T00:00:00,ASTANA PRO TEAM,,,,,,,,,10,10,10,17,,,,,,,,,
57,Alexey,LUTSENKO,KAZ,1992-09-07T00:00:00,ASTANA PRO TEAM,,,,,,,,,32,34,35,43,48,49,53,54,55,23,23,23,23
6,Mikel,LANDA MEANA,ESP,1989-12-13T00:00:00,TEAM SKY,,,,,,,,,,,,16,2,3,4,4,6,7,7,7,7
61,Louis,MEINTJES,RSA,1992-02-21T00:00:00,UAE TEAM EMIRATES,,,,,,,,,,,,,,,,,,28,29,29,31
62,Darwin,ATAPUMA,COL,0001-01-01T00:00:00,UAE TEAM EMIRATES,,,,,,,,,,,,,,,,,16,4,4,4,4
69,Diego,ULISSI,ITA,1989-07-15T00:00:00,UAE TEAM EMIRATES,,,,,,,,,,,,29,31,31,33,33,33,36,36,36,35
7,Mikel,NIEVE ITURRALDE,ESP,1984-05-26T00:00:00,TEAM SKY,,,,,,,,,,,,11,13,13,14,14,17,19,19,19,19
78,Thibaut,PINOT,FRA,1990-05-29T00:00:00,FDJ,,,,,,,,,6,6,6,10,12,12,12,12,,,,,
86,Daryl,IMPEY,RSA,1984-12-06T00:00:00,ORICA - SCOTT,,,,,,,,,,,,,,,,,,43,44,44,46
89,Simon,YATES,GBR,1992-07-08T00:00:00,ORICA - SCOTT,,,,,12,13,14,19,31,32,33,41,44,45,48,48,48,51,52,52,55
93,Stephen,CUMMINGS,GBR,1981-03-19T00:00:00,TEAM DIMENSION DATA,,,,,,,,,,,,7,10,10,10,10,14,17,17,17,17
96,Serge,PAUWELS,BEL,1983-11-21T00:00:00,TEAM DIMENSION DATA,,,,,,,,9,17,17,17,26,28,28,13,13,7,10,10,10,10
